"When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to love.", Marcus Aurelius
"You have power over your mind — not outside events. Realize this, and you will find strength.", Marcus Aurelius
"Dwell on the beauty of life. Watch the stars, and see yourself running with them. Think constantly on the changes of the elements into each other, for such thoughts wash away the dust of earthly life.", Marcus Aurelius
"The happiness of your life depends upon the quality of your thoughts.", Marcus Aurelius
"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.", Marcus Aurelius
"Waste no more time arguing about what a good man should be. Be one.", Marcus Aurelius
"How much more grievous are the consequences of anger than the causes of it.", Marcus Aurelius
"The best revenge is to be unlike him who performed the injury.", Marcus Aurelius
"Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.", Marcus Aurelius
"The soul becomes dyed with the color of its thoughts.", Marcus Aurelius
"The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.", Marcus Aurelius
"If it is not right do not do it; if it is not true do not say it.", Marcus Aurelius
"Think of the life you have lived until now as over and, as a dead man, see what's left as a bonus and live it according to Nature. Love the hand that fate deals you and play it as your own, for what could be more fitting?", Marcus Aurelius
"Very little is needed to make a happy life; it is all within yourself in your way of thinking.", Marcus Aurelius
"Let men see, let them know, a real man, who lives as he was meant to live.", Marcus Aurelius
"Try praying differently, and see what happens: Instead of asking for 'a way to sleep with her,' try asking for 'a way to stop desiring to sleep with her.' Instead of 'a way to get rid of him,' try asking for 'a way to not crave his demise.' Instead of 'a way to not lose my child,' try asking for 'a way to lose my fear of it.'", Marcus Aurelius
"The memory of everything is very soon overwhelmed in time.", Marcus Aurelius
"Do not indulge in dreams of having what you have not, but reckon up the chief of the blessings you do possess, and then thankfully remember how you would crave for them if they were not yours.", Marcus Aurelius
"[I have learned] To read with diligence; not to rest satisfied with a light and superficial knowledge, nor quickly to assent to things commonly spoken of.", Marcus Aurelius
"You shouldn't give circumstances the power to rouse anger, for they don't care at all.", Marcus Aurelius
"It is the responsibility of leadership to work intelligently with what is given, and not waste time fantasizing about a world of flawless people and perfect choices.", Marcus Aurelius
"The mind freed from passions is an impenetrable fortress—a person has no more secure place of refuge for all time.", Marcus Aurelius
"That cucumber is bitter, so toss it out! There are thorns on the path, then keep away! Enough said. Why ponder the existence of nuisance?", Marcus Aurelius
"A man's worth is no greater than the worth of his ambitions.", Marcus Aurelius
"Let each thing you would do, say, or intend, be like that of a dying person.", Marcus Aurelius
"The best answer to anger is silence.", Marcus Aurelius
"Give thyself leisure to learn some good thing, and cease roving and wandering to and fro.", Marcus Aurelius
"Because a thing seems difficult for you, do not think it impossible.", Marcus Aurelius
"You have been formed of three parts—body, breath, and mind. Of these, the first two are yours insofar as they are only in your care. The third alone is truly yours.", Marcus Aurelius
"Don't return to philosophy as a task-master, but as patients seek out relief in a treatment of sore eyes, or a dressing for a burn, or from an ointment. Regarding it this way, you'll obey reason without putting it on display and rest easy in its care.", Marcus Aurelius
"Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.", Marcus Aurelius
"The art of living is more like wrestling than dancing, because an artful life requires being prepared to meet and withstand sudden and unexpected attacks.", Marcus Aurelius
"No random actions, none not based on underlying principles.", Marcus Aurelius
"Keep a list before your mind of those who burned with anger and resentment about something, of even the most renowned for success, misfortune, evil deeds, or any special distinction. Then ask yourself, how did that work out? Smoke and dust, the stuff of simple myth trying to be legend…", Marcus Aurelius
"Whenever someone has done wrong by you, immediately consider what notion of good or evil they had in doing it. For when you see that, you'll feel compassion, instead of astonishment or rage.", Marcus Aurelius
"Choose not to be harmed, and you won't feel harmed. Don't feel harmed, and you haven't been.", Marcus Aurelius
"Stay calm and serene regardless of what life throws at you.", Marcus Aurelius
